division,superintendent,assistant_superintendent,email
Ilocos Norte,"DONATO D. BALDERAS, JR.",JO EULIE MAE T. DOMINGO (OIC-ASDS),ilocos.norte@deped.gov.ph
Ilocos Sur,JOEL B. LOPEZ,JOYE D. MADALIPAY,ilocos.sur@deped.gov.ph
La Union,JORGE M. REINANTE,ERNELYN C. HOBAYAN (OIC-ASDS),la.union@deped.gov.ph
Pangasinan I,FATIMA R. BOADO,ROSARIO O. CABRERAARLENE B. CASIPIT,pangasinan1@deped.gov.ph
Pangasinan II,VIVIAN LUZ S. PAGATPATAN (OIC-SDS),"RUSSEL JIM V. TAMAYOMARCIANO U. SORIANO, JR.",pangasinan2@deped.gov.ph
Alaminos City,ELY S. UBALDO (OIC-SDS),WILFREDO E. SINDAYEN,alaminos.city@deped.gov.ph
Batac City,ANSELMO R. ALUDINO,ARNEL S. BANDIOLA,batac.city@deped.gov.ph
Candon City,GEMMA Q. TACUYCUY,JULIUS M. JOSE (OIC-ASDS),candon.city@deped.gov.ph
Dagupan City,ROWENA C. BANZON,ANNA LIZA M. CHAN (OIC-ASDS),dagupan.city@deped.gov.ph
Laoag City,JOANN A. CORPUZ,MARIECON G. RAMIREZ,laoag.city@deped.gov.ph
San Carlos City,SHEILA MARIE A. PRIMICIAS (OIC-SDS),DOMINGO L. LAUD (OIC-ASDS),sancarlos.city@deped.gov.ph
Urdaneta City,AGUEDO C. FERNANDEZ,MA. CRISELDA G. OCANG,urdaneta.city@deped.gov.ph
Vigan City,VILMA D. EDA,ANNIE D. PAGDILAO,vigan.city@deped.gov.ph
Batanes,"ALFREDO B. GUMARU, JR.",DANTE J. MARCELO,batanes@deped.gov.ph
Cagayan Province,REYNANTE Z. CALIGUIRAN,GEORGANN G. CARIASOROMEL L. LIBANG (OIC-ASDS),sdo.cagayan@deped.gov.ph
Isabela,RACHEL R. LLANA,WILMA C. BUMAGATMARY JULIE A. TRUS,isabela@deped.gov.ph
Nueva Vizcaya,ORLANDO E. MANUEL,ADONIS C. CEPEREZ (OIC-ASDS),nuevavizcaya@depedro2@gmail.com
Quirino,MADELYN L. MACALLING,NELIA N. MABUTI,quirino.depedro2@gmail.com
Cauayan City,CHERRY S. RAMOS,CHELO C. TANGAN,cauayan.depedro2@gmail.com
Ilagan City,"EDUARDO C. ESCORPISO, JR.",CHERYL R. RAMIRO,ilagan.depedro2@gmail.com
Santiago City,FLORDELIZA C. GECOBE,JACQUELINE S. RAMOS (OIC-ASDS),santiago.city@deped.gov.ph
